Experiment,infection,BREED,treatment,Trait,tissue,collection_time,Collection_Date,BioProject,subset
SRX18040006,,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040024,,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040023,,ABC_VIMS_Family_2017120,Control,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040022,,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040021,,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040020,,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0
SRX18040019,,ABC_VIMS_Family_2017089,Control,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040018,,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040017,,ABC_VIMS_Family_2017089,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040016,,ABC_VIMS_Family_2017120,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040015,,ABC_VIMS_Family_2017120,Control,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040014,,ABC_VIMS_Family_2017090,Dose 1x10^8,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040013,,ABC_VIMS_Family_2017090,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040012,,ABC_VIMS_Family_2017089,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040011,,ABC_VIMS_Family_2017089,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0
SRX18040010,,ABC_VIMS_Family_2017089,Control,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040009,,ABC_VIMS_Family_2017084,Dose 1x10^8,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040008,,ABC_VIMS_Family_2017084,Dose 1x10^7,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040007,,ABC_VIMS_Family_2017120,Dose 1x10^7,sensitive,mantle,,6/20/2018,PRJNA894694,1.0
SRX18040005,,ABC_VIMS_Family_2017084,Dose 1x10^6,tolerant,mantle,,6/20/2018,PRJNA894694,0.0
SRX18040004,,ABC_VIMS_Family_2017084,Control,tolerant,mantle,,6/20/2018,PRJNA894694,1.0
SRX7656996,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656995,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656994,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656993,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656992,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656991,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656990,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656989,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656988,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656987,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656986,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656985,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656984,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656983,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656982,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656981,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656980,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656979,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656978,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656977,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656976,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656975,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656974,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656973,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656972,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656971,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656970,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656969,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656968,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656967,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656966,D,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656965,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656964,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656963,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656962,C,Eastern Oyster,field,sensitive,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656961,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656960,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656959,B,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,0.0
SRX7656958,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX7656957,A,Eastern Oyster,field,tolerant,Gill,,4/24/2018,PRJNA604121,1.0
SRX13037871,,,Control,sensitive,gill,0.0,,PRJNA778545,1.0
SRX13037870,,,Control,sensitive,gill,24.0,,PRJNA778545,1.0
SRX13037869,,,Control,sensitive,gill,3.0,,PRJNA778545,1.0
SRX13037868,,,Injection,sensitive,gill,24.0,,PRJNA778545,1.0
SRX13037867,,,Injection,sensitive,gill,3.0,,PRJNA778545,1.0
SRX13037866,,,Control,tolerant,gill,0.0,,PRJNA778545,1.0
SRX13037865,,,Control,tolerant,gill,24.0,,PRJNA778545,1.0
SRX13037864,,,Control,tolerant,gill,3.0,,PRJNA778545,1.0
SRX13037863,,,Injection,tolerant,gill,24.0,,PRJNA778545,1.0
SRX13037862,,,Injection,tolerant,gill,3.0,,PRJNA778545,1.0
SRX9845543,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845542,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845541,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845540,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845539,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845534,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845523,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845512,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845511,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845510,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845509,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845508,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845507,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845506,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845505,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845504,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845503,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845502,,ABC_VIMS_Family_2014_286,Injected,sensitive,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845501,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845500,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845538,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,0.0
SRX9845537,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,0.0
SRX9845536,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,0.0
SRX9845535,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/26/2015,PRJNA691949,0.0
SRX9845533,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,0.0
SRX9845532,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,0.0
SRX9845531,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,6/24/2015,PRJNA691949,0.0
SRX9845530,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845529,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845528,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/22/2015,PRJNA691949,1.0
SRX9845527,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845526,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845525,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,7/1/2015,PRJNA691949,1.0
SRX9845524,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845522,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845521,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/26/2015,PRJNA691949,1.0
SRX9845520,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,1.0
SRX9845519,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,1.0
SRX9845518,,ABC_VIMS_Family_2014_286,Control,tolerant,mantle,,6/24/2015,PRJNA691949,1.0
SRX9845517,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,0.0
SRX9845516,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,0.0
SRX9845515,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/22/2015,PRJNA691949,0.0
SRX9845514,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,0.0
SRX9845513,,ABC_VIMS_Family_2014_286,Fed,tolerant,mantle,,7/1/2015,PRJNA691949,0.0
SRX7172573,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172559,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172553,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172552,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172545,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172544,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172524,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172562,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172558,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172557,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172556,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172555,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172554,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172550,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172549,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172548,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172547,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172546,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172543,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172530,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172523,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172522,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172521,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172520,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172519,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172518,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172578,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172574,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172569,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172568,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172561,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172560,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172534,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172533,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172529,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172528,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172525,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172579,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172577,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172576,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172575,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172572,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172571,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172570,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172567,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172566,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172565,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172564,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172563,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172551,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172542,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172541,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172540,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172539,,ABC_VIMS_Family_2014_266,,tolerant,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172538,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172537,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172536,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172535,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172532,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
SRX7172531,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/1/2015,PRJNA590205,1.0
SRX7172527,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,7/22/2015,PRJNA590205,1.0
SRX7172526,,ABC_VIMS_Family_2014_242,,sensitive,mantle,,6/26/2015,PRJNA590205,0.0
